City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
269,Komsomol'skoye,100,RU,1611665374,97,55.2567,47.5461,-2.05,6.13
270,Marsaxlokk,20,MT,1611665375,72,35.8419,14.5431,15.0,13.89
271,Lakatoro,99,VU,1611665375,80,-16.0999,167.4164,27.74,6.47
272,Zyryanka,100,RU,1611665376,82,65.75,150.85,-35.97,4.08
273,Montes Claros,75,BR,1611665377,57,-16.735,-43.8617,26.0,4.12
274,Baião,100,BR,1611665377,75,-2.7906,-49.6717,28.07,0.81
275,Cidreira,0,BR,1611665378,64,-30.1811,-50.2056,27.92,1.96
276,Nagato,75,JP,1611665378,94,34.3833,131.2,12.0,2.06
277,Nador,20,MA,1611665104,72,35.174,-2.9287,21.0,8.75
278,Puerto Escondido,0,MX,1611665380,60,15.85,-97.0667,24.2,1.74
279,Bubaque,0,GW,1611665381,52,11.2833,-15.8333,24.96,0.33
280,Kiryat Gat,100,IL,1611665314,56,31.61,34.7642,21.67,0.45
281,Alofi,100,NU,1611665382,94,-19.0595,-169.9187,24.0,3.6
282,Saint-Pierre,20,RE,1611665383,62,-21.3393,55.4781,30.0,4.63
283,Mealhada,100,PT,1611665383,96,40.3781,-8.4499,16.11,1.75
284,Salta,40,AR,1611665271,73,-24.7859,-65.4117,21.0,1.54
285,Black River,20,JM,1611665384,78,18.0264,-77.8487,23.33,1.54
286,Calvinia,38,ZA,1611665385,13,-31.4707,19.776,30.83,7.38
287,Fernie,98,CA,1611665386,92,49.5,-115.0687,-11.0,1.54
288,Santa Cruz de la Sierra,90,BO,1611665105,100,-17.8,-63.1667,24.0,7.72
289,Sitka,90,US,1611665387,86,57.0531,-135.33,-1.0,1.54
290,Tura,0,IN,1611665387,50,25.5198,90.2201,15.19,1.13
291,Katrineholm,20,SE,1611665389,74,58.9959,16.2072,-2.0,4.12
292,Marquette,100,US,1611665389,79,46.5333,-87.6335,-6.11,5.13
293,Buala,99,SB,1611665390,75,-8.145,159.5921,26.95,3.15
294,Emerald,0,AU,1611665391,54,-23.5333,148.1667,30.0,5.14
295,Kyshtovka,100,RU,1611665391,92,56.555,76.6271,-19.21,4.87
296,Sampit,100,ID,1611665392,92,-2.5333,112.95,24.77,1.03
297,Coquimbo,90,CL,1611665393,100,-29.9533,-71.3436,15.0,1.54
298,Coos Bay,75,US,1611665394,93,43.3665,-124.2179,2.0,5.66
299,Miraflores,1,MX,1611665394,66,19.2167,-98.8083,10.0,2.06
300,Pimenta Bueno,96,BR,1611665395,75,-11.6725,-61.1936,27.88,1.28
301,Cherskiy,65,RU,1611665396,82,68.75,161.3,-39.38,0.41
302,Chokurdakh,26,RU,1611665396,78,70.6333,147.9167,-38.5,1.66
303,Murray Bridge,0,AU,1611665149,93,-35.1167,139.2667,15.0,0.45
304,Maningrida,100,AU,1611665398,81,-12.0667,134.2667,27.26,4.32
305,Biskamzha,100,RU,1611665399,86,53.4497,89.5272,-23.42,1.29
306,Lüderitz,71,NA,1611665399,57,-26.6481,15.1594,23.32,12.5
307,Kabansk,100,RU,1611665400,71,52.0486,106.6528,-22.0,3.0
308,Semporna,20,MY,1611665400,94,4.4818,118.6112,26.0,3.78
309,Santarém,90,BR,1611665401,94,-2.4431,-54.7083,24.0,2.57
310,Meiktila,0,MM,1611665402,39,20.8667,95.8667,22.04,0.85
311,Saint-Michel-des-Saints,19,CA,1611665403,93,46.6834,-73.9159,-18.89,1.09
312,Pierre,90,US,1611665113,78,44.3683,-100.351,-11.67,1.54
313,Port Hawkesbury,40,CA,1611665404,86,45.6169,-61.3485,0.0,2.57
314,Shenjiamen,91,CN,1611665405,91,29.9576,122.298,8.11,5.66
315,Guerrero Negro,0,MX,1611665406,60,27.9769,-114.0611,12.16,6.54
316,Bukachacha,100,RU,1611665407,86,52.9833,116.9167,-22.65,1.77
317,Caucayá,99,CO,1611665408,97,-0.1934,-74.7819,22.47,0.79
318,Pochutla,0,MX,1611665409,69,15.7432,-96.4661,21.67,1.51
319,Haines Junction,83,CA,1611665409,78,60.7522,-137.5108,-14.0,1.03
320,Los Llanos de Aridane,75,ES,1611665410,68,28.6585,-17.9182,20.0,5.14
